,Important Words,Coefficient_0,Coefficient_4,Coefficient_10,Coefficient_100,Coefficient_1000,Coefficient_100000
181,working,-0.3203632422180958,-0.3175592196650101,-0.3134274874222163,-0.2607636091607549,-0.092333803470159,-0.0016739093581830799
182,high,0.0033256265331975386,0.0032816573710035446,0.0032169465592121033,0.0024043153800787182,0.00023591350024097587,-6.245349990370584e-05
183,unit,-0.19612125346180442,-0.1945160734064892,-0.19215259721397152,-0.1622096521337902,-0.06656768317564012,-0.0015671346940723484
184,seems,0.058307812348723266,0.057905073733897916,0.05731184441117079,0.049753254041003746,0.022875479353858825,0.00032870803447765796
185,picture,-0.19690605990826138,-0.19527301954927062,-0.19286642325282968,-0.16214267996933465,-0.06117118322178448,-0.001150852955208402
186,completely,-0.277845406413495,-0.2754609038112936,-0.2719468778460727,-0.22709825096513547,-0.08177518343254114,-0.0014212217595348886
187,wish,0.17319126772279692,0.17163988602123514,0.16935236789949434,0.14002212696157904,0.0443735935047124,0.0004679501297242633
188,buying,-0.13219654443850234,-0.13108271403183525,-0.12944110581806584,-0.10847147213610459,-0.040331472234113534,-0.0007915202436050714
189,babies,0.052493808013111654,0.05212966565332506,0.051593690528578755,0.04480539663874921,0.02102600541108767,0.00036472174451720487
190,won,0.0049600237218162,0.004907249154715879,0.004829542616521273,0.0038475023705273424,0.001083863867041718,1.737094511281987e-05
191,tub,-0.16674538652912238,-0.16536689833223972,-0.16333787050005039,-0.13769283883855243,-0.05477756211005418,-0.0009359001216883866
192,almost,-0.03191561481345853,-0.03162075749660652,-0.031185932094566972,-0.025604223635678835,-0.007360596241809115,-0.0001245326297628202
193,either,-0.228851609411596,-0.22679274212517314,-0.223758089049224,-0.18498600507517124,-0.061138256589624455,-0.0009797328958089649
